Artist,Song Title,Genre (Aneeka),Genre (Samantha),Genre (Michael) ,Lyrics
Marshmello,Happier,Electronic,Electronic,Pop,"Lately, I've been, I've been thinking I want you to be happier, I want you to be happier When the morning comes When we see what we've become In the cold light of day we're a flame in the wind Not the fire that we've begun Every argument, every word we can't take back 'Cause with the all that has happened I think that we both know the way that the story ends Then only for a minute I want to change my mind 'Cause this just don't feel right to me I want to raise your spirits I want to see you smile but Know that means I'll have to leave Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier When the evening falls And I'm left there with my thoughts And the image of you being with someone else Well, that's eating me up inside But we run our course, we pretend that we're okay Now if we jump together at least we can swim Far away from the wreck we made Then only for a minute I want to change my mind 'Cause this just don't feel right to me I want to raise your spirits I want to see you smile but Know that means I'll have to leave Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier So I'll go, I'll go I will go, go, go So I'll go, I'll go I will go, go, go Lately, I've been, I've been thinking I want you to be happier, I want you to be happier Even though I might not like this I think that you'll be happier, I want you to be happier Then only for a minute (only for a minute) I want to change my mind 'Cause this just don't feel right to me I want to raise your spirits I want to see you smile but Know that means I'll have to leave Know that means I'll have to leave Lately, I've been, I've been thinking I want you to be happier, I want you to be happier So I'll go, I'll go I will go, go, go"
Sam Smith,Too Good At Goodbyes,Pop,Pop,Pop,"You must think that I'm stupid You must think that I'm a fool You must think that I'm new to this But I have seen this all before I'm never gonna let you close to me Even though you mean the most to me 'Cause every time I open up, it hurts So I'm never gonna get too close to you Even when I mean the most to you In case you go and leave me in the dirt But every time you hurt me, the less that I cry And every time you leave me, the quicker these tears dry And every time you walk out, the less I love you Baby, we don't stand a chance, it's sad but it's true I'm way too good at goodbyes (I'm way too good at goodbyes) I'm way too good at goodbyes (I'm way too good at goodbyes) I know you're thinking I'm heartless I know you're thinking I'm cold I'm just protecting my innocence I'm just protecting my soul I'm never gonna let you close to me Even though you mean the most to me 'Cause every time I open up, it hurts So I'm never gonna get too close to you Even when I mean the most to you In case you go and leave me in the dirt But every time you hurt me, the less that I cry And every time you leave me, the quicker these tears dry And every time you walk out, the less I love you Baby, we don't stand a chance, it's sad but it's true I'm way to good at goodbyes (I'm way to good at goodbyes) I'm way too good at goodbyes (I'm way too good at goodbyes) No way that you'll see me cry (No way that you'll see me cry) I'm way too good at goodbyes (I'm way too good at goodbyes) No No, no, no, no, no (I'm way too good at goodbyes) No, no, no, no No, no, no (I'm way too good at goodbyes) (No way that you'll see me cry) (I'm way too good at goodbyes) 'Cause every time you hurt me, the less that I cry And every time you leave me, the quicker these tears dry And every time you walk out, the less I love you Baby, we don't stand a chance, it's sad but it's true I'm way too good at goodbyes"
Lil Dicky,Freaky Friday (feat. Chris Brown),Hip-Hop,Hip-Hop,Hip-Hop,"Lil Dicky, ooh Mustard on the beat, ho I woke up Chris Breezy, oh my god I'm the man (oh shit) I'm so fly and I can Dance (whoa, whoa shit) There's tattoos on my neck (oh, oh) I just FaceTimed Kanye (blip, blip) I told him I'm his biggest fan, yeah (yeah) Got all these hoes in my DM (yeah, I do) Holy shit, I got a kid (oh) Ohh, I can sing so well Wonder if I can say the n-word (wait for real?) Wait, can I really say the n-word? What up, my nigga? (woo) What up, my nigga? Big ups, my nigga, we up, my nigga You pussy ass nigga, man, fuck y'all niggas 'Cause I'm that nigga, nigga, nigga, nigga I'm that nigga I woke up in Chris Brown's body (oh yeah) Somehow this shit turned into Freaky Friday But we got no choice but to turn this bitch sideways (Oh yeah, oh yeah) I can't believe that it's Freaky Friday Yeah, it's Freaky Friday I'm in Chris Brown's body I drive his Ferrari and I'm light-skinned black What the fuck? I woke up and I'm Lil Dicky (Lil Dicky?) Ugh, what the fuck? This shit is real weak How his dick staying perched up on his balls like that? Walking down the street and ain't nobody know my name (whoa) Ain't no paparazzi flashing pictures, this is great (whoa) Ain't nobody judging 'cause I'm black or my controversial past I'ma go and see a movie and relax (woo) Ayy, I'm a Blood but I can finally wear blue (cool) Why his momma calling all the time? Leave me the fuck alone, bitch Wait, if I'm in Dicky's body, Breezy is who? Hope my daughter's in school Fuck, if I was Chris Brown, where would I be? What would I do? I woke up in Chris Brown's body (oh yeah) Somehow this shit turned into Freaky Friday But we got no choice but to turn this bitch sideways (Oh yeah, oh yeah) I can't believe that it's Freaky Friday Yeah, it's Freaky Friday I'm in Chris Brown's body I look at my soft dick with delight, it's my dream dick If I was Lil Dicky in my body, where would I be? I'm tryna to find myself like an introspective monk I'm balling on the court, oh my God I can dunk Snap a flick of my junk My dick is trending on Twitter? Fuck Now I'm at the club, I talked my way into getting in I look up in the VIP, my goodness there I am I signal to him to let me in but he won't let me in I don't know who that is Wait, who the fuck he think he is? Took a glass bottle, shatter it on the bouncer's head (woo) Walked up to that motherfucker Wait, think it through for a sec If you hurting me then you only hurting yourself But wait, I love myself That was the key, now we're switching back I woke up in Chris Brown's body (oh yeah) Somehow this shit turned into Freaky Friday But we got no choice but to turn this bitch sideways (I can't believe) I can't believe that it's Freaky Friday Wait, what the fuck? And now I'm in Ed Sheeran's body It's way less cool than being Chris Brown was What the fuck again? I'm DJ Khaled Why am I yelling? Huh, I'm Kendall Jenner I got a vagina, I'm gonna explore that right now (woo, woo) Holy shit, I got a vagina (uh), I'm gonna learn I'm gonna understand the inner workings of a woman"
Imagine Dragons,Believer,Pop,Pop,Pop,"First things first I'ma say all the words inside my head I'm fired up and tired of the way that things have been, oh ooh The way that things have been, oh ooh Second thing second Don't you tell me what you think that I can be I'm the one at the sail, I'm the master of my sea, oh ooh The master of my sea, oh ooh I was broken from a young age Taking my sulking to the masses Write down my poems for the few That looked at me, took to me, shook to me, feeling me Singing from heartache from the pain Taking my message from the veins Speaking my lesson from the brain Seeing the beauty through the You made me a, you made me a believer, believer (Pain, pain) You break me down, you build me up, believer, believer (Pain) Oh let the bullets fly, oh let them rain My life, my love, my drive, it came from (Pain) You made me a, you made me a believer, believer Third things third Send a prayer to the ones up above All the hate that you've heard has turned your spirit to a dove, oh ooh Your spirit up above, oh ooh I was choking in the crowd Building my rain up in the cloud Falling like ashes to the ground Hoping my feelings, they would drown But they never did, ever lived, ebbing and flowing Inhibited, limited 'Til it broke up and it rained down It rained down, like You made me a, you made me a believer, believer (Pain, pain) You break me down, you built me up, believer, believer (Pain) I let the bullets fly, oh let them rain My life, my love, my drive, it came from (Pain) You made me a, you made me a believer, believer Last things last By the grace of the fire and the flames You're the face of the future, the blood in my veins, oh ooh The blood in my veins, oh ooh But they never did, ever lived, ebbing and flowing Inhibited, limited 'Til it broke up and it rained down It rained down, like You made me a, you made me a believer, believer (Pain, pain) You break me down, you built me up, believer, believer (Pain) I let the bullets fly, oh let them rain My life, my love, my drive, it came from (Pain) You made me a, you made me a believer, believer"
6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),Hip-Hop,Hip-Hop,Hip-Hop,"It's fuckin' TR3YWAY! It's King of New York, lookin' for the Queen Uh, you got the right one, mm L-let these-l-let these b-b-bitches know, nigga Queens, Brooklyn, brr, ah! Murda on the beat so it's not nice! Pussy got that wet, wet, got that drip, drip Got that Super Soaker, hit that, she a Fefe Her name Keke, she eat my dick like it's free, free I don't even know like ""Why I did that?"" I don't even know like ""Why I hit that?"" All I know is that I just can't wife that Talk to her nice so she won't fight back Turn around and hit it from the back, back, back Bend her down then I make it clap, clap, clap I don't really want no friends I don't really want no friends, no Draco got that kick-back, when I blow that, they all do track They don't shoot back, one shot, close range, red dot Head tight, yeah, I did that, yeah, I live that Call a Uber with my shooter, with a Ruger, we gon' do ya Niggas say they killin' people, but I really fuckin' do it I don't really want no friends I don't really want no friends, no He-he tryna 69 like Tekashi, call him papi Word to A$AP, keep me Rocky, I'm from New York, so I'm cocky Say he fuckin' with my posse, copped me Chloé like Kardashi' Keep this pussy in Versace, said I'm pretty like Tinashe Put-put it all up in his face, did I catch a case? Pussy game just caught a body, but I never leave a trace Face is pretty, ass for days, I get chips, I ask for Lay's I just sit back and when he done, I be like, ""Yo, how'd it taste?"" (Yo, how'd it taste?) I don't really want no friends I don't really want no friends, no Ayo, Draco got that kick-back When it kick-back, you can't get yo shit back In fact this that bitch that ""I hate small talk, I don't fuck with chit-chat"" AC just stopped workin' So they hit me, told me bring my wrist back Come through rockin' fashions That got all these bitches like ""Yo, what's that?"" I don't really want no friends I don't really want no friends, no Eeny, meeny, miny, moe I catch a hoe right by her toe If she ain't fuckin' me and Nicki Kick that ho right through the door (TR3YWAY) I don't really want no friends, my old ho just bought this Benz Nicki just hopped in this shit, now I won't see that bitch again Eeny, meeny, miny, moe (no) I catch a ho right by her toe (no) If she ain't fuckin' me and Nicki (no) Kick that ho right through the door (no, TR3YWAY) Mmm, Young Money, Young Money bunny Colorful hair, don't care I don't really want no friends, I don't really want no friends, no I don't really want no friends, I don't really want no friends, no Scum Gang!"
Jonas Blue,Rise,Electronic,Dance,Pop,"We're gonna ri-ri-ri-ri-rise 'til we fall They said we got no no no no future at all They wanna ke-ke-keep us down but they can't hold us down anymore We're gonna ri-ri-ri-ri-rise 'til we fall When we hit the bottom, then it goes up Climb to the top with you We could be the breaks, ones who never made yeah I could be talking to you They tryna hate hate hate But we won't change, change anything at all We're gonna ri-ri-ri-ri-rise 'til we fall They think we just dropped out Living at my mom's house Paris must be so proud They know it all They don't speak our language They say we're too savage No, no we don't need them anymore We're gonna ri-ri-ri-ri-rise 'til we fall We're gonna ri-ri-ri-ri-rise 'til we fall They don't speak our language They say we're too savage, ya No, no we don't need them anymore We're gonna ri-ri-ri-ri-rise We're gonna ri-ri-ri-ri-rise We're gonna ri-ri-ri-ri-rise We're gonna ri-ri-ri-ri-rise 'til we fall Say we're going no no no no no no nowhere But we they don't know know know is we don't don't care We're gonna keepin' on, keepin' on going til' we can't go no more We're gonna ri-ri-ri-ri-rise 'til we fall, yeah When we hit the bottom, then it goes up Climb to the top with you We could be the breaks, ones who never made yeah I could be talking to you They tryna hate hate hate But we won't change, change anything at all We're gonna ri-ri-ri-ri-rise 'til we fall They think we just dropped out Living at our mom's house Paris must be so proud, they know it all No, hey don't speak our language They say we're too savage, yeah No, no we don't give a- anymore We're gonna ri-ri-ri-ri-rise 'til we fall We're gonna ri-ri-ri-ri-rise 'til we fall They don't speak our language They say we're too savage, ya No, no we don't give a- anymore We're gonna ri-ri-ri-ri-rise We're gonna ri-ri-ri-ri-rise We're gonna ri-ri-ri-ri-rise We're gonna ri-ri-ri-ri-rise 'til we fall"
Loud Luxury,Body (feat. brando),House,Dance,Pop,"Babe, don't make a sound 2 A.M. love gotta keep it down (keep it down) Don't wait around for a signal now Gimme some verbs I ain't talkin' nouns (I'm naughty) You want a ride in the six You want a dine in the six (dine in the six) when I lean for the kiss You said I'll probably send you some pics And I'm like Hell nah, been waitin' too long (I've been waitin') Hell nah, I want that crew love (don't leave, baby) Hell nah, been waitin' too long (I've been waitin') Hell nah, I want that crew love Body on my, losin' all my innocence, yeah Body on my, grindin' on my innocence, yeah Body on my, losin' all my innocence, yeah Body on my, grindin' on my innocence, yeah Body on my, losin' all my innocence, yeah Body on my, grindin' on my innocence, yeah Body on my, losin' all my innocence, yeah Body on my, grindin' on my innocence, yeah On my, on my, on my, on my 'cence, yeah On my, on my, on my, on my 'cence, yeah On my, on my, on my, on my 'cence, yeah On my, on my, on my, on my 'cence, yeah Babe, just hit the pedal If things goin' wrong it's just incidental My bad, never got the memo But you never have fun while you're in the limo, yeah You wanna ride in the six You wanna dine in the six (dine in the six) When I lean for the kiss You said I'll probably send you some pics And I'm like Hell nah, been waitin' too long (I've been waitin') Hell nah, I want that crew love (don't leave, baby) Hell nah, been waitin' too long (I've been waitin') Hell nah, I want that crew love Body on my, losin' all my innocence, yeah Body on my, grindin' on my innocence, yeah Body on my, losin' all my innocence, yeah Body on my, grindin' on my innocence, yeah Body on my, losin' all my innocence, yeah Body on my, grindin' on my innocence, yeah On my, on my, on my, on my 'cence, yeah On my, on my, on my, on my 'cence, yeah On my, on my, on my, on my 'cence, yeah On my, on my, on my, on my 'cence, yeah"
Lil Uzi Vert,XO TOUR Llif3,Hip-Hop,Hip-Hop,Hip-Hop,"You alright I'm alright I'm quite alright And my money's right, yeah Countin' them bands all way to the top 'til they be fallin' over Countin' them bands on my way to the top 'til we fallin' over I don't really care if you cry On the real you should've never lied Should've saw the way she looked me in my eyes She said baby I am not afraid to, die Push me to the edge All my friends are dead Push me to the edge All my friends are dead Push me to the edge All my friends are dead Push me to the edge Phantom that's all red Inside all white Like something you ride a sled down I just want that head My Brittany got mad I'm really her man now Everybody got the same swag now One way that I Trap now Stackin' my bands all the way to the top All the way 'til my bands fallin' over Every time that you leave your spot Your girlfriend call me like ""Come on over"" I like the way that she treat me Gon' leave you won't leave me, I call it that Casanova She said I'm insane yeah I might blow my brain out Xanny numb the pain yeah Please, Xanny make it go away I'm committed, not addicted but it keep controlling me All that pain now I can't feel it, I swear that it's slowing me (yeah) I don't really care if you cry On the real, you should've never lied Saw the way she looked me in my eyes She said I am not afraid to, die All my friends are dead Push me to the edge All my friends are dead Push me to the edge All my friends are dead (yeah) All my friends are dead (yeah) That is not your swag I swear you faking All these niggas wanna take my cake now Radar, at the store, radar Made somethin', look nigga take some Fast car, Nascar, race on In the club they got no ones, that we were baked now Clothes from overseas, got the racks and they all C-Notes, you is not a G though Look at you stackin' all your money, it ain't green though I was counting that and it's not 20, that's a zero She say You're the worst, you're the worst I cannot die because this my universe I don't really care if you cry On the real, you should've never lied Should've saw the way she looked me in my eyes She said baby I am not afraid to, die Push me to the edge All my friends are dead Push me to the edge All my friends are dead Push me to the edge All my friends are dead Push me to the edge"
Becky G,Sin Pijama,,,,"Solo, solito en la habitación Busca, que busca de mi calor, uoh-oh, no-no Quiere' remedio pa' tu dolor Nadie te lo hace mejor que yo, uoh-oh, no-no Que no se te apague la excitación Tú sabes que yo no te dejo planta'o Calma'o, que yo voy en camino, amor Calma'o, que yo quiero contigo Si tú me llama' Nos vamo' pa' tu casa Nos quedamo' en la cama Sin pijama, sin pijama Si tú me llamas Nos vamo' pa' tu casa Nos quedamo' en la cama Sin pijama, sin pijama (yo', yo', yo') Voy pa' contarle mis secretos a tu almohada Mientras tanto hagamos video llamada Me manda foto', fotico' Mostrando todo, todito Cuando llegue desbaratamo' la cama Baby, hoy no vamo' a dormir (no) Baby, hoy no vamo' a dormir (uh-uh-uh) Que no traje pijama Porque no me dio la gana Baby, hoy no vamo' a dormir Baby, hoy no vamo' a dormir (no) Baby, hoy no vamo' a dormir (uh-uh-uh) Que no traje pijama Porque no me dio la gana Baby, hoy no vamo' a dormir Si tú me llama' Nos vamo' pa' tu casa Nos quedamo' en la cama Sin pijama, sin pijama Si tú me llamas Nos vamo' pa' tu casa Nos quedamo' en la cama Sin pijama, sin pijama Si no hay teatro deja el drama Enciéndeme la llama Como yo vine al mundo, ese es mi mejor pijama Hoy hay toque de queda Seré tuya hasta la mañana La pasamos romantic Sin piloto automatic Botamos el manual, 'tamos viajando en cannabis Siempre he sido una dama (una gyal) Pero soy una perra en la cama Así que dale pom-pom-pom-pom-pom Ponle carne a mi sazón-zón-zón-zón-zón Choca to' eso con mi bon-bon-bon-bon-bon Perdemo' el control pa' ganar los do' Así que dale pom-pom-pom-pom-pom Ponle fuego a mi sazón-zón-zón-zón-zón Choca to' eso con mi bon-bon-bon-bon-bon Espero tu call, vente dame el gol Si tú me llama' Nos vamo' pa' tu casa Nos quedamo' en la cama Sin pijama, sin pijama Si tú me llamas Nos vamo' pa' tu casa Fumamo' marihuana Sin pijama, sin pijama (Baby, hoy no vamo' a dormir Na-na-na Baby, hoy no vamo' a dormir) Natti Nat, yeah-yeah (No traje pijama Porque no me dio la gana) Becky G, baby (Baby, hoy no vamo' a dormir)"
Anne-Marie,2002,Pop,Pop,Pop,"I will always remember the day you kissed my lips Light as a feather And it went just like this No, it's never been better Than the summer of 2002 We were only eleven But acting like grownups Like we are in the present, drinking from plastic cups Singing, ""love is forever and ever"" Well, I guess that was true Dancing on the hood in the middle of the woods Of an old Mustang, where we sang Songs with all our childhood friends And it went like this, yeah Oops I got ninety-nine problems singing bye, bye, bye Hold up, if you wanna go and take a ride with me Better hit me, baby, one more time Paint a picture for you and me Of the days when we were young Singing at the top of both our lungs Now we're under the covers Fast forward to eighteen We are more than lovers Yeah, we are all we need When we're holding each other I'm taken back to 2002 Dancing on the hood in the middle of the woods Of an old Mustang, where we sang Songs with all our childhood friends And it went like this, yeah Oops I got ninety-nine problems singing bye, bye, bye Hold up, if you wanna go and take a ride with me Better hit me, baby, one more time Paint a picture for you and me Of the days when we were young Singing at the top of both our lungs On the day we fell in love On the day we fell in love Dancing on the hood in the middle of the woods Of an old Mustang, where we sang Songs with all our childhood friends Oh, now Oops I got ninety-nine problems singing bye, bye, bye Hold up, if you wanna go and take a ride with me Better hit me, baby, one more time Paint a picture for you and me Of the days when we were young Singing at the top of both our lungs On the day we fell in love On the day we fell in love On the day we fell in love On the day we fell in love On the day we fell in love, love, love"
Drake,Nonstop,Hip-Hop,Hip-Hop,Hip-Hop,"Tay Keith, fuck these niggas up! Look, I just flipped the switch (flipped, flipped) I don't know nobody else that's doin' this Bodies start to drop, ayy, hit the floor Now they wanna know me since I hit the top, ayy This a Rollie, not a stopwatch, shit don't ever stop This the flow that got the block hot, shit got super hot Give me my respect, give me my respect I just took it left like I'm ambidex Bitch, I move through London with the eurostep Got a sneaker deal and I ain't break a sweat Catch me 'cause I'm goin' outta there, I'm gone How I go from 6 to 23 like I'm LeBron? Servin' up a pack, servin' up a pack Niggas pullin' gimmicks 'cause they scared to Rap, ayy Funny how they shook, ayy, got these niggas shook Pullin' back the curtain by myself, take a look, ayy I'm a bar spitta, I'm a hard hitta Yeah I'm light skinned, but I'm still a dark nigga I'm a wig splitta, I'm a tall figure I'm a unforgivin' wild-ass dog nigga Somethin' wrong with 'em, got 'em all bitter I'm a bill printer, I'm a grave digger Yeah, I am what I am I don't have no time for no misunderstandings again My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin' This a Rollie, not a stopwatch, shit don't ever stop Smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is Future took the business and ran it for me I let Ollie take the owl, told him brand it for me I get 2 million a Pop and that's standard for me Like I went blind dog, you gotta hand it to me (Gotta gimme that shit, dog) Prayed, then I prayed again (Amen, Lord) Had a moment but it came and went (They don't love you no more) You don't wanna play with him (nah, nah, nah) They'll be mournin' you like 8AM (R.I.P) Pinky ring 'til I get a wedding ring (woah, yeah) Love my brothers, cut 'em in on anything (big slice) And you know it's King Slime Drizzy damn She just said I'm bae, I hit the thizzle Dance (Mac Dre shit) Either hand is the upper hand (oh yeah, shit) Got a Bubba on my other hand (oh yeah, shit, yeah) This shit ain't no hundred bands (nah, nah, nah, nah) Palace look like Buckingham Bills so big I call 'em Williams, for real Reasons to go crazy, got a trillion for real They been tryin' me but I'm resilient for real I can't go in public like civilian for real And I hardly take offense Money for revenge, man, that's hardly an expense Al Haymon checks off of all of my events I like all the profit, man, I hardly do percents (I don't do that shit) A big part of me resents Niggas that I knew from when I started in this shit They see what I got and man it's hard to be content Fuck what they got goin' on, I gotta represent My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin' This a Rollie, not a stopwatch, shit don't ever stop Smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin', smokin' on the chicken, the bass is kickin' My head is spinnin' This the flow that got the block hot, shit got super hot"
XXXTENTACION,Fuck Love (feat. Trippie Redd),Trap,Hip-Hop,Hip-Hop,"Ooh Baby, I need you in my life, in my life Please, bae, don't go switching side, switching sides I swear this is where you reside, you reside Please bae, don't go switching sides, switching sides Yeah, yeah, yeah Ooh, please don't throw your love away, huh Please don't throw your love away, huh Please don't throw your love away, huh, yeah, ayy I'm nauseous, I'm dyin' (She ripped my heart right out) Can't find her, someone to (My eyes are all cried out) Lost it, riots Gunfire inside my head, I've Lost it, riots Gunfire inside my head Baby, I need you in my life, in my life Please, bae, don't go switching side, switching sides I swear this is where you reside, you reside Please, bae, don't go switching sides, switching sides Yeah, yeah, yeah Ooh, please don't throw your love away, huh Please don't throw your love away, huh Please don't throw your love away, huh, yeah"
Shawn Mendes,In My Blood,Pop,Pop,Pop,"Help me, it's like the walls are caving in Sometimes I feel like giving up But I just can't It isn't in my blood Laying on the bathroom floor, feeling nothing I'm overwhEDMed and insecure, give me something I could take to ease my mind slowly Just have a drink and you'll feel better Just take her home and you'll feel better Keep telling me that it gets better Does it ever? Help me, it's like the walls are caving in Sometimes I feel like giving up No medicine is strong enough Someone help me I'm crawling in my skin Sometimes I feel like giving up But I just can't It isn't in my blood It isn't in my blood I'm looking through my phone again, feeling anxious Afraid to be alone again, I hate this I'm trying to find a way to chill, can't breathe, oh Is there somebody who could Help me, it's like the walls are caving in Sometimes I feel like giving up No medicine is strong enough Someone help me I'm crawling in my skin Sometimes I feel like giving up But I just can't It isn't in my blood It isn't in my blood I need somebody now I need somebody now Someone to help me out I need somebody now Help me, it's like the walls are caving in Sometimes I feel like giving up But I just can't It isn't in my blood It isn't in my blood It isn't in my blood I need somebody now It isn't in my blood I need somebody now It isn't in my blood"
Marshmello,Silence,Dance,Dance,Pop,"Yeah, I'd rather be a lover than a fighter 'Cause all my life, I've been fighting Never felt a feeling of comfort All this time, I've been hiding And I never had someone to call my own, oh nah I'm so used to sharing Love only left me alone But I'm at one with the silence I found peace in your violence Can't tell me there's no point in trying I'm at one, and I've been quiet for too long I found peace in your violence Can't tell me there's no point in trying I'm at one, and I've been silent for too long I've been quiet for too long I've been quiet for too long I found peace in your violence Can't tell me there's no point in trying I'm at one, and I've been quiet for too long I'm in need of a savior, but I'm not asking for favors My whole life, I've felt like a burden I think too much, and I hate it I'm so used to being in the wrong, I'm tired of caring Loving never gave me a home, so I'll sit here in the silence I found peace in your violence Can't tell me there's no point in trying I'm at one, and I've been quiet for too long I found peace in your violence Can't tell me there's no point in trying I'm at one, and I've been silent for too long I've been quiet for too long I've been quiet for too long I found peace in your violence Can't tell me there's no point in trying I'm at one, and I've been quiet for too long"
Ariana Grande,God is a woman,Pop,Pop,Hip-Hop,"You, you love it how I move you You love it how I touch you My one, when all is said and done You'll believe God is a woman And I, I feel it after midnight A feelin' that you can't fight My one, it lingers when we're done You'll believe God is a woman I don't wanna waste no time, yuh You ain't got a one-track mind, yuh Have it any way you like, yuh And I can tell that you know I know how I want it Ain't nobody else can relate Boy, I like that you ain't afraid Baby, lay me down and let's pray I'm tellin' you the way I like it, how I want it And I can be all the things you told me not to be (Yuh) When you try to come for me, I keep on flourishing (Yuh) And he see the universe when I'm the company It's all in me You, you love it how I move you You love it how I touch you My one, when all is said and done You'll believe God is a woman And I, I feel it after midnight A feelin' that you can't fight My one, it lingers when we're done You'll believe God is a woman I'll tell you all the things you should know So, baby, take my hand, save your soul We can make it last, take it slow, hmm And I can tell that you know I know how I want it, yuh But you different from the rest And boy, if you confess, you might get blessed See if you deserve what comes next I'm tellin' you the way I like it, how I want it And I can be all the things you told me not to be (Yuh) When you try to come for me, I keep on flourishing (Yuh) And he see the universe when I'm the company It's all in me You, you love it how I move you You love it how I touch you My one, when all is said and done You'll believe God is a woman And I, I feel it after midnight A feelin' that you can't fight My one, it lingers when we're done You'll believe God is a woman, yeah, yeah Yeah, yeah (God is a woman, yeah) My one (One) When all is said and done You'll believe God is a woman You'll believe God (God is a woman) Oh, yeah (God is a woman, yeah) (One) It lingers when we're done You'll believe God is a woman"
Piso 21,Dejala que vuelva (feat. Manuel Turizo),,,,"Déjala que vuelva  Ay ay ay ¿Cómo podrás respirar  Cuando te falte mi piel?  Si fuiste tú quien se alejó  Pero esta vez no me dolió, baby (No me dolió) No quiero verte llorar por mí Entiendo no sabes perder  Aunque esta vez No va a ser tan fácil  Yo te lo juro, no va a ser tan fácil (No va a ser tan fácil)  Lo hiciste difícil  Lo tengo claro, si preguntan por ti diré Volverá como la primera vez  Déjala que vuelva  Ella conoce solita el camino conmigo Volverá como la primera vez  Déjala que vuelva  Ella conoce solita el camino conmigo Tu cuerpo Sabes que no dejo pensar en tus besos  No hay nada más rico que probar tu boca  Pero esta vez, mamacita, no es tan fácil la cosa Tu cuerpo  Sabes que no dejo pensar en tus besos  No hay nada más rico que probar tu boca  Pero esta vez, mamacita, no está fácil la cosa Volverá como la primera vez  Déjala que vuelva  Ella conoce solita el camino conmigo Volverá como la primera vez  Déjala que vuelva  Ella conoce solita el camino conmigo Baby, yo sé que tú también me verás Lo que es no poder, dime lo que quieres  Yo sé que es lo que tú quieres  Que yo me desespere y te vuelva a ver Por favor no le insistas  Déjala que juegue sola, ya no le insistías  Sientes que por volver a ella mueres  Esta vez no le daré lo que ella quiere Volverá como la primera vez  Déjala que vuelva  Ella conoce solita el camino conmigo Volverá como la primera vez  Déjala que vuelva  Ella conoce solita el camino conmigo ¿Como podrás respirar  Cuando te falte mi piel? (Piso 21)  Si fuiste tú quien se alejó  Pero esta vez no me dolió, baby No quiero verte llorar por mí (No, no)  Entiendo, no sabes perder  Aunque esta vez Volverá como la primera vez  Déjala que vuelva  Ella conoce solita el camino conmigo Volverá (Woah oh) Piso 21 (Súbete, súbete, súbete) Manuel Turizo (Julián Turizo) Julián Turizo Volverá (Mo-Mo-Mosty) Déjala que vuelva"
David Guetta,Flames,Pop,Pop,Pop,"Oh, oh One foot in front of the other babe One breath leads to another yeah Just keep moving, oh Look within for the strength today Listen out for the voice to say Just keep moving, oh Go, go, go Figure it out, figure it out, but don't stop moving Go, go, go Figure it out, figure it out, you can do this So my love, keep on running You gotta get through today, yeah There my love, keep on running Gotta keep those tears at bay, oh Oh, my love, don't stop burning Gonna send them up in flames In flames Don't stop, tomorrow's another day Don't stop, tomorrow you'll feel no pain Just keep moving, oh Don't stop the past'll trip you up You know, right now's gotta be enough Just keep moving Go, go, go Figure it out, figure it out, but don't stop moving Go, go, go Figure it out, figure it out, you can do this So my love, keep on running You gotta get through today, yeah There my love, keep on running Gotta keep those tears at bay, oh Oh, my love, don't stop burning Gonna send them up in flames In flames In flames In flames Go, go, go Figure it out, figure it out, but don't stop moving Go, go, go Figure it out, figure it out, you can do this So my love, keep on running You gotta get through today, yeah Then my love, keep on running Gotta keep those tears at bay, oh Oh, my love, don't stop burning Gonna send them up in flames In flames"
